Date,Fish_Type,Supply_Kg,Price_Per_Kg,Fuel_price,Ice_price_per_block,,,
2025/1/19,Bangus (Milk Fish),42 kg,200,57.65,160,,,
2025/1/19,Bariles (Yellow Fin Tuna),384 kg,250,57.65,160,,,
2025/1/19,Culisi (Nemipterid),"2,181 kg",123,57.65,160,,,
2025/1/19,Galunggong (Round Scad),975 kg,200,57.65,160,,,
2025/1/19,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.65,160,,,
2025/1/19,Lapu-lapu (Grouper),73 kg,280,57.65,160,,,
2025/1/19,Malasugi (Blue Marlin),829 Kg,300,57.65,160,,,
2025/1/19,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.65,160,,,
2025/1/19,Maya-maya (Snapper),23 kg,350,57.65,160,,,
2025/1/19,Mulmul (Parrot Fish),17 kg,200,57.65,160,,,
2025/1/19,Samaral (Siganid),67 kg,220,57.65,160,,,
2025/1/19,Talakitok (Crevalle),91 kg,280,57.65,160,,,
2025/1/19,Tamban (Indian Sardines),"4,716 kg",100,57.65,160,,,
2025/1/19,Sting Ray,249 Kg,100,57.65,160,,,
2025/1/19,Tanguigue (Spanish Mackerel),279 Kg,300,57.65,160,,,
2025/1/19,Tulingan (Frigate Tuna),473 kg,350,57.65,160,,,
2025/1/20,Alumahan (Striped Mackerel),"1,205 kg",200,57.65,160,,,
2025/1/20,Bangus (Milk Fish),42 kg,200,57.65,160,,,
2025/1/20,Bariles (Yellow Fin Tuna),384 kg,250,57.65,160,,,
2025/1/20,Culisi (Nemipterid),"2,181 kg",123,57.65,160,,,
2025/1/20,Galunggong (Round Scad),975 kg,200,57.65,160,,,
2025/1/20,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.65,160,,,
2025/1/20,Lapu-lapu (Grouper),73 kg,280,57.65,160,,,
2025/1/20,Malasugi (Blue Marlin),829 Kg,300,57.65,160,,,
2025/1/20,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.65,160,,,
2025/1/20,Maya-maya (Snapper),23 kg,350,57.65,160,,,
2025/1/20,Mulmul (Parrot Fish),17 kg,200,57.65,160,,,
2025/1/20,Samaral (Siganid),67 kg,220,57.65,160,,,
2025/1/20,Talakitok (Crevalle),91 kg,280,57.65,160,,,
2025/1/20,Tamban (Indian Sardines),"4,716 kg",100,57.65,160,,,
2025/1/20,Sting Ray,249 Kg,100,57.65,160,,,
2025/1/20,Tanguigue (Spanish Mackerel),279 Kg,300,57.65,160,,,
2025/1/20,Tulingan (Frigate Tuna),473 kg,350,57.65,160,,,
2025/1/21,Alumahan (Striped Mackerel),"1,205 kg",210,60.35,160,,,
2025/1/21,Bangus (Milk Fish),42 kg,210,60.35,160,,,
2025/1/21,Bariles (Yellow Fin Tuna),384 kg,260,60.35,160,,,
2025/1/21,Culisi (Nemipterid),"2,181 kg",133,60.35,160,,,
2025/1/21,Galunggong (Round Scad),975 kg,210,60.35,160,,,
2025/1/21,Gulyasan or puyan (Skipjack tuna),229 kg,210,60.35,160,,,
2025/1/21,Lapu-lapu (Grouper),73 kg,290,60.35,160,,,
2025/1/21,Malasugi (Blue Marlin),829 Kg,310,60.35,160,,,
2025/1/21,Matang Baka (Big-eyed Scads),"1,685 kg",260,60.35,160,,,
2025/1/21,Maya-maya (Snapper),23 kg,360,60.35,160,,,
2025/1/21,Mulmul (Parrot Fish),17 kg,210,60.35,160,,,
2025/1/21,Samaral (Siganid),67 kg,230,60.35,160,,,
2025/1/21,Talakitok (Crevalle),91 kg,290,60.35,160,,,
2025/1/21,Tamban (Indian Sardines),"4,716 kg",110,60.35,160,,,
2025/1/21,Sting Ray,249 Kg,110,60.35,160,,,
2025/1/21,Tanguigue (Spanish Mackerel),279 Kg,310,60.35,160,,,
