Date,Fish_Type,Supply_Kg,Price_Per_Kg,Fuel_price,Ice_price_per_block
2024/1/18,Samaral (Siganid),596 Kg,258,59.4,160
2024/1/18,Talakitok (Crevalle),"1,233 Kg",261,59.4,160
2024/1/18,Tamban (Indian Sardines),"5,363 Kg",79,59.4,160
2024/1/18,Sting Ray,249 Kg,97,59.4,160
2024/1/18,Tanguigue (Spanish Mackerel),279 Kg,304,59.4,160
2024/1/18,Tulingan (Frigate Tuna),"1,236 Kg",187,59.4,160
2024/1/19,Alumahan (Striped Mackerel),"1,776 Kg",169,59.4,160
2024/1/19,Bangus (Milk Fish),"101,326 Kg",203,59.4,160
2024/1/19,Bariles (Yellow Fin Tuna),345 Kg,218,59.4,160
2024/1/19,Culisi (Nemipterid),"2,181 Kg",130,59.4,160
2024/1/19,Galunggong (Round Scad),"5,296 Kg",156,59.4,160
2024/1/19,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",171,59.4,160
2024/1/19,Lapu-lapu (Grouper),524 Kg,279,59.4,160
2024/1/19,Malasugi (Blue Marlin),829 Kg,339,59.4,160
2024/1/19,Matang Baka (Big-eyed Scads),"25,066 Kg",207,59.4,160
2024/1/19,Maya-maya (Snapper),484 Kg,310,59.4,160
2024/1/19,Mulmul (Parrot Fish),378 Kg,211,59.4,160
2024/1/19,Samaral (Siganid),596 Kg,249,59.4,160
2024/1/19,Talakitok (Crevalle),"1,233 Kg",262,59.4,160
2024/1/19,Tamban (Indian Sardines),"5,363 Kg",80,59.4,160
2024/1/19,Sting Ray,249 Kg,96,59.4,160
2024/1/19,Tanguigue (Spanish Mackerel),279 Kg,303,59.4,160
2024/1/19,Tulingan (Frigate Tuna),"1,236 Kg",186,59.4,160
2024/1/20,Alumahan (Striped Mackerel),"1,776 Kg",168,59.4,160
2024/1/20,Bangus (Milk Fish),"101,326 Kg",205,59.4,160
2024/1/20,Bariles (Yellow Fin Tuna),345 Kg,219,59.4,160
2024/1/20,Culisi (Nemipterid),"2,181 Kg",130,59.4,160
2024/1/20,Galunggong (Round Scad),"5,296 Kg",154,59.4,160
2024/1/20,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",164,59.4,160
2024/1/20,Lapu-lapu (Grouper),524 Kg,273,59.4,160
2024/1/20,Malasugi (Blue Marlin),829 Kg,339,59.4,160
2024/1/20,Matang Baka (Big-eyed Scads),"25,066 Kg",209,59.4,160
2024/1/20,Maya-maya (Snapper),484 Kg,305,59.4,160
2024/1/20,Mulmul (Parrot Fish),378 Kg,211,59.4,160
2024/1/20,Samaral (Siganid),596 Kg,241,59.4,160
2024/1/20,Talakitok (Crevalle),"1,233 Kg",263,59.4,160
2024/1/20,Tamban (Indian Sardines),"5,363 Kg",80,59.4,160
2024/1/20,Sting Ray,249 Kg,94,59.4,160
2024/1/20,Tanguigue (Spanish Mackerel),279 Kg,302,59.4,160
2024/1/20,Tulingan (Frigate Tuna),"1,236 Kg",186,59.4,160
2024/1/21,Alumahan (Striped Mackerel),"1,776 Kg",168,59.4,160
2024/1/21,Bangus (Milk Fish),"101,326 Kg",207,59.4,160
2024/1/21,Bariles (Yellow Fin Tuna),345 Kg,220,59.4,160
2024/1/21,Culisi (Nemipterid),"2,181 Kg",130,59.4,160
2024/1/21,Galunggong (Round Scad),"5,296 Kg",151,59.4,160
2024/1/21,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",158,59.4,160
2024/1/21,Lapu-lapu (Grouper),524 Kg,267,59.4,160
2024/1/21,Malasugi (Blue Marlin),829 Kg,339,59.4,160
2024/1/21,Matang Baka (Big-eyed Scads),"25,066 Kg",212,59.4,160
2024/1/21,Maya-maya (Snapper),484 Kg,300,59.4,160
2024/1/21,Mulmul (Parrot Fish),378 Kg,212,59.4,160
2024/1/21,Samaral (Siganid),596 Kg,232,59.4,160
2024/1/21,Talakitok (Crevalle),"1,233 Kg",264,59.4,160
2024/1/21,Tamban (Indian Sardines),"5,363 Kg",80,59.4,160
2024/1/21,Sting Ray,249 Kg,93,59.4,160
2024/1/21,Tanguigue (Spanish Mackerel),279 Kg,301,59.4,160
2024/1/21,Tulingan (Frigate Tuna),"1,236 Kg",185,59.4,160
2024/1/22,Alumahan (Striped Mackerel),"1,776 Kg",167,59.4,160
2024/1/22,Bangus (Milk Fish),"101,326 Kg",209,59.4,160
2024/1/22,Bariles (Yellow Fin Tuna),345 Kg,221,59.4,160
2024/1/22,Culisi (Nemipterid),"2,181 Kg",130,59.4,160
2024/1/22,Galunggong (Round Scad),"5,296 Kg",148,59.4,160
2024/1/22,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",151,59.4,160
2024/1/22,Lapu-lapu (Grouper),524 Kg,261,59.4,160
2024/1/22,Malasugi (Blue Marlin),829 Kg,340,59.4,160
2024/1/22,Matang Baka (Big-eyed Scads),"25,066 Kg",215,59.4,160
2024/1/22,Maya-maya (Snapper),484 Kg,295,59.4,160
2024/1/22,Mulmul (Parrot Fish),378 Kg,213,59.4,160
2024/1/22,Samaral (Siganid),596 Kg,224,59.4,160
